endpoint,predicate,local_name,usage_count,text
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:transcript-assignment,affymetrix_vocabulary:transcript-assignment,7475423,http://bio2rdf.org/affymetrix_vocabulary:transcript-assignment affymetrix_vocabulary:transcript-assignment affymetrix vocabulary:transcript assignment affymetrix vocabulary:transcript assignment affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:process,affymetrix_vocabulary:process,4283631,http://bio2rdf.org/affymetrix_vocabulary:process affymetrix_vocabulary:process affymetrix vocabulary:process affymetrix vocabulary:process affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:function,affymetrix_vocabulary:function,3666141,http://bio2rdf.org/affymetrix_vocabulary:function affymetrix_vocabulary:function affymetrix vocabulary:function affymetrix vocabulary:function affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:x-uniprot,affymetrix_vocabulary:x-uniprot,3475692,http://bio2rdf.org/affymetrix_vocabulary:x-uniprot affymetrix_vocabulary:x-uniprot affymetrix vocabulary:x uniprot affymetrix vocabulary:x uniprot affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:x-refseq,affymetrix_vocabulary:x-refseq,3241370,http://bio2rdf.org/affymetrix_vocabulary:x-refseq affymetrix_vocabulary:x-refseq affymetrix vocabulary:x refseq affymetrix vocabulary:x refseq affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:location,affymetrix_vocabulary:location,2998156,http://bio2rdf.org/affymetrix_vocabulary:location affymetrix_vocabulary:location affymetrix vocabulary:location affymetrix vocabulary:location affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:x-unigene,affymetrix_vocabulary:x-unigene,2204848,http://bio2rdf.org/affymetrix_vocabulary:x-unigene affymetrix_vocabulary:x-unigene affymetrix vocabulary:x unigene affymetrix vocabulary:x unigene affymetrix
affymetrix,http://bio2rdf.org/affymetrix_vocabulary:annotation-notes,affymetrix_vocabulary:annotation-notes,2188818,http://bio2rdf.org/affymetrix_vocabulary:annotation-notes affymetrix_vocabulary:annotation-notes affymetrix vocabulary:annotation notes affymetrix vocabulary:annotation notes affymetrix
affymetrix,http://www.w3.org/2000/01/rdf-schema#label,label,1767002,http://www.w3.org/2000/01/rdf-schema#label label label label affymetrix
affymetrix,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,1767002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type type type type affymetrix
affymetrix,http://rdfs.org/ns/void#inDataset,inDataset,1766999,http://rdfs.org/ns/void#inDataset inDataset in dataset in dataset affymetrix
