endpoint,predicate,local_name,usage_count,text
geoNames,http://www.w3.org/2003/01/geo/wgs84_pos#long,long,1860837,http://www.w3.org/2003/01/geo/wgs84_pos#long long long long geo names
geoNames,http://www.w3.org/2003/01/geo/wgs84_pos#lat,lat,1860837,http://www.w3.org/2003/01/geo/wgs84_pos#lat lat lat lat geo names
geoNames,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,isDefinedBy,1860837,http://www.w3.org/2000/01/rdf-schema#isDefinedBy isDefinedBy is defined by is defined by geo names
geoNames,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,1860837,http://www.w3.org/1999/02/22-rdf-syntax-ns#type type type type geo names
geoNames,http://www.geonames.org/ontology#parentFeature,parentFeature,1860837,http://www.geonames.org/ontology#parentFeature parentFeature parent feature parent feature geo names
geoNames,http://www.geonames.org/ontology#parentCountry,parentCountry,1860837,http://www.geonames.org/ontology#parentCountry parentCountry parent country parent country geo names
geoNames,http://www.geonames.org/ontology#name,name,1860837,http://www.geonames.org/ontology#name name name name geo names
geoNames,http://www.geonames.org/ontology#locationMap,locationMap,1860837,http://www.geonames.org/ontology#locationMap locationMap location map location map geo names
geoNames,http://www.geonames.org/ontology#featureClass,featureClass,1860837,http://www.geonames.org/ontology#featureClass featureClass feature class feature class geo names
geoNames,http://www.geonames.org/ontology#countryCode,countryCode,1860837,http://www.geonames.org/ontology#countryCode countryCode country code country code geo names
geoNames,http://www.geonames.org/ontology#featureCode,featureCode,1857701,http://www.geonames.org/ontology#featureCode featureCode feature code feature code geo names
geoNames,http://www.geonames.org/ontology#nearbyFeatures,nearbyFeatures,1811679,http://www.geonames.org/ontology#nearbyFeatures nearbyFeatures nearby features nearby features geo names
geoNames,http://www.geonames.org/ontology#parentADM1,parentADM1,1660979,http://www.geonames.org/ontology#parentADM1 parentADM1 parent adm1 parent adm1 geo names
geoNames,http://www.geonames.org/ontology#alternateName,alternateName,1317854,http://www.geonames.org/ontology#alternateName alternateName alternate name alternate name geo names
geoNames,http://www.geonames.org/ontology#wikipediaArticle,wikipediaArticle,275298,http://www.geonames.org/ontology#wikipediaArticle wikipediaArticle wikipedia article wikipedia article geo names
geoNames,http://www.geonames.org/ontology#parentADM2,parentADM2,159325,http://www.geonames.org/ontology#parentADM2 parentADM2 parent adm2 parent adm2 geo names
geoNames,http://www.geonames.org/ontology#parentADM3,parentADM3,104907,http://www.geonames.org/ontology#parentADM3 parentADM3 parent adm3 parent adm3 geo names
geoNames,http://www.geonames.org/ontology#population,population,91149,http://www.geonames.org/ontology#population population population population geo names
geoNames,http://www.geonames.org/ontology#postalCode,postalCode,53144,http://www.geonames.org/ontology#postalCode postalCode postal code postal code geo names
geoNames,http://www.geonames.org/ontology#childrenFeatures,childrenFeatures,49158,http://www.geonames.org/ontology#childrenFeatures childrenFeatures children features children features geo names
geoNames,http://www.w3.org/2003/01/geo/wgs84_pos#alt,alt,40970,http://www.w3.org/2003/01/geo/wgs84_pos#alt alt alt alt geo names
geoNames,http://www.geonames.org/ontology#parentADM4,parentADM4,34401,http://www.geonames.org/ontology#parentADM4 parentADM4 parent adm4 parent adm4 geo names
geoNames,http://www.w3.org/2002/07/owl#sameAs,sameAs,28192,http://www.w3.org/2002/07/owl#sameAs sameAs same as same as geo names
geoNames,http://www.geonames.org/ontology#officialName,officialName,10262,http://www.geonames.org/ontology#officialName officialName official name official name geo names
geoNames,http://xmlns.com/foaf/0.1/page,page,213,http://xmlns.com/foaf/0.1/page page page page geo names
geoNames,http://www.geonames.org/ontology#neighbouringFeatures,neighbouringFeatures,70,http://www.geonames.org/ontology#neighbouringFeatures neighbouringFeatures neighbouring features neighbouring features geo names
