endpoint,predicate,local_name,usage_count,text
linkedTCGA-A,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,5774382,http://www.w3.org/1999/02/22-rdf-syntax-ns#type type type type linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/stop,stop,5724694,http://tcga.deri.ie/schema/stop stop stop stop linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/start,start,5724694,http://tcga.deri.ie/schema/start start start start linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/result,result,5724694,http://tcga.deri.ie/schema/result result result result linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/chromosome,chromosome,5724694,http://tcga.deri.ie/schema/chromosome chromosome chromosome chromosome linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/scaled_estimate,scaled_estimate,5319609,http://tcga.deri.ie/schema/scaled_estimate scaled_estimate scaled estimate scaled estimate linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/seg_mean,seg_mean,237867,http://tcga.deri.ie/schema/seg_mean seg_mean seg mean seg mean linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/reads_per_million_miRNA_mapped,reads_per_million_miRNA_mapped,141109,http://tcga.deri.ie/schema/reads_per_million_miRNA_mapped reads_per_million_miRNA_mapped reads per million mi rna mapped reads per million mi rna mapped linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/bcr_sample_barcode,bcr_sample_barcode,51490,http://tcga.deri.ie/schema/bcr_sample_barcode bcr_sample_barcode bcr sample barcode bcr sample barcode linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/bcr_aliquot_barcode,bcr_aliquot_barcode,32610,http://tcga.deri.ie/schema/bcr_aliquot_barcode bcr_aliquot_barcode bcr aliquot barcode bcr aliquot barcode linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/is_derived_from_ffpe,is_derived_from_ffpe,26330,http://tcga.deri.ie/schema/is_derived_from_ffpe is_derived_from_ffpe is derived from ffpe is derived from ffpe linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/protein_expression_value,protein_expression_value,26109,http://tcga.deri.ie/schema/protein_expression_value protein_expression_value protein expression value protein expression value linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/concentration,concentration,24045,http://tcga.deri.ie/schema/concentration concentration concentration concentration linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/amount,amount,24045,http://tcga.deri.ie/schema/amount amount amount amount linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/bcr_analyte_barcode,bcr_analyte_barcode,23220,http://tcga.deri.ie/schema/bcr_analyte_barcode bcr_analyte_barcode bcr analyte barcode bcr analyte barcode linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/plate_id,plate_id,16966,http://tcga.deri.ie/schema/plate_id plate_id plate id plate id linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/center_id,center_id,16966,http://tcga.deri.ie/schema/center_id center_id center id center id linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/source_center,source_center,16305,http://tcga.deri.ie/schema/source_center source_center source center source center linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/plate_row,plate_row,16305,http://tcga.deri.ie/schema/plate_row plate_row plate row plate row linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/plate_column,plate_column,16305,http://tcga.deri.ie/schema/plate_column plate_column plate column plate column linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/date_of_shipment,date_of_shipment,16305,http://tcga.deri.ie/schema/date_of_shipment date_of_shipment date of shipment date of shipment linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/biospecimen_barcode_bottom,biospecimen_barcode_bottom,16305,http://tcga.deri.ie/schema/biospecimen_barcode_bottom biospecimen_barcode_bottom biospecimen barcode bottom biospecimen barcode bottom linked tcga a
linkedTCGA-A,http://tcga.deri.ie/schema/bcr_aliquot_uuid,bcr_aliquot_uuid,16305,http://tcga.deri.ie/schema/bcr_aliquot_uuid bcr_aliquot_uuid bcr aliquot uuid bcr aliquot uuid linked tcga a
