endpoint,predicate,local_name,usage_count,text
lmdb,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,740468,http://www.w3.org/1999/02/22-rdf-syntax-ns#type type type type lmdb
lmdb,http://www.w3.org/2000/01/rdf-schema#label,label,665433,http://www.w3.org/2000/01/rdf-schema#label label label label lmdb
lmdb,http://xmlns.com/foaf/0.1/page,page,512946,http://xmlns.com/foaf/0.1/page page page page lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance,performance,390322,http://data.linkedmdb.org/resource/movie/performance performance performance performance lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_performanceid,performance_performanceid,197271,http://data.linkedmdb.org/resource/movie/performance_performanceid performance_performanceid performance performanceid performance performanceid lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_note,performance_note,197271,http://data.linkedmdb.org/resource/movie/performance_note performance_note performance note performance note lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_name,performance_name,197271,http://data.linkedmdb.org/resource/movie/performance_name performance_name performance name performance name lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_film,performance_film,197271,http://data.linkedmdb.org/resource/movie/performance_film performance_film performance film performance film lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_character,performance_character,197271,http://data.linkedmdb.org/resource/movie/performance_character performance_character performance character performance character lmdb
lmdb,http://data.linkedmdb.org/resource/movie/performance_actor,performance_actor,197271,http://data.linkedmdb.org/resource/movie/performance_actor performance_actor performance actor performance actor lmdb
lmdb,http://data.linkedmdb.org/resource/movie/actor,actor,194649,http://data.linkedmdb.org/resource/movie/actor actor actor actor lmdb
lmdb,http://data.linkedmdb.org/resource/oddlinker/linkage_run,linkage_run,162199,http://data.linkedmdb.org/resource/oddlinker/linkage_run linkage_run linkage run linkage run lmdb
lmdb,http://data.linkedmdb.org/resource/oddlinker/link_type,link_type,162199,http://data.linkedmdb.org/resource/oddlinker/link_type link_type link type link type lmdb
lmdb,http://data.linkedmdb.org/resource/oddlinker/link_target,link_target,162199,http://data.linkedmdb.org/resource/oddlinker/link_target link_target link target link target lmdb
lmdb,http://data.linkedmdb.org/resource/oddlinker/link_source,link_source,162199,http://data.linkedmdb.org/resource/oddlinker/link_source link_source link source link source lmdb
lmdb,http://data.linkedmdb.org/resource/movie/linkid,linkid,162199,http://data.linkedmdb.org/resource/movie/linkid linkid linkid linkid lmdb
lmdb,http://purl.org/dc/terms/title,title,85620,http://purl.org/dc/terms/title title title title lmdb
lmdb,http://data.linkedmdb.org/resource/movie/filmid,filmid,85620,http://data.linkedmdb.org/resource/movie/filmid filmid filmid filmid lmdb
lmdb,http://purl.org/dc/terms/date,date,74111,http://purl.org/dc/terms/date date date date lmdb
lmdb,http://data.linkedmdb.org/resource/movie/initial_release_date,initial_release_date,74111,http://data.linkedmdb.org/resource/movie/initial_release_date initial_release_date initial release date initial release date lmdb
lmdb,http://www.w3.org/2002/07/owl#sameAs,sameAs,63161,http://www.w3.org/2002/07/owl#sameAs sameAs same as same as lmdb
lmdb,http://data.linkedmdb.org/resource/movie/runtime,runtime,57147,http://data.linkedmdb.org/resource/movie/runtime runtime runtime runtime lmdb
lmdb,http://data.linkedmdb.org/resource/oddlinker/linkage_score,linkage_score,55599,http://data.linkedmdb.org/resource/oddlinker/linkage_score linkage_score linkage score linkage score lmdb
lmdb,http://xmlns.com/foaf/0.1/made,made,53180,http://xmlns.com/foaf/0.1/made made made made lmdb
lmdb,http://data.linkedmdb.org/resource/movie/director,director,53180,http://data.linkedmdb.org/resource/movie/director director director director lmdb
lmdb,http://data.linkedmdb.org/resource/movie/actor_name,actor_name,50603,http://data.linkedmdb.org/resource/movie/actor_name actor_name actor name actor name lmdb
lmdb,http://data.linkedmdb.org/resource/movie/actor_actorid,actor_actorid,50603,http://data.linkedmdb.org/resource/movie/actor_actorid actor_actorid actor actorid actor actorid lmdb
lmdb,http://data.linkedmdb.org/resource/movie/film_cut_film_cutid,film_cut_film_cutid,45259,http://data.linkedmdb.org/resource/movie/film_cut_film_cutid film_cut_film_cutid film cut film cutid film cut film cutid lmdb
lmdb,http://data.linkedmdb.org/resource/movie/actor_nytimes_id,actor_nytimes_id,38844,http://data.linkedmdb.org/resource/movie/actor_nytimes_id actor_nytimes_id actor nytimes id actor nytimes id lmdb
lmdb,http://data.linkedmdb.org/resource/movie/actor_netflix_id,actor_netflix_id,38844,http://data.linkedmdb.org/resource/movie/actor_netflix_id actor_netflix_id actor netflix id actor netflix id lmdb
lmdb,http://data.linkedmdb.org/resource/movie/producer,producer,35388,http://data.linkedmdb.org/resource/movie/producer producer producer producer lmdb
lmdb,http://dbpedia.org/property/hasPhotoCollection,hasPhotoCollection,30354,http://dbpedia.org/property/hasPhotoCollection hasPhotoCollection has photo collection has photo collection lmdb
lmdb,http://data.linkedmdb.org/resource/movie/writer,writer,28549,http://data.linkedmdb.org/resource/movie/writer writer writer writer lmdb
lmdb,http://data.linkedmdb.org/resource/movie/language,language,28253,http://data.linkedmdb.org/resource/movie/language language language language lmdb
lmdb,http://data.linkedmdb.org/resource/movie/film_cut_note,film_cut_note,25516,http://data.linkedmdb.org/resource/movie/film_cut_note film_cut_note film cut note film cut note lmdb
lmdb,http://data.linkedmdb.org/resource/movie/type_of_film_cut,type_of_film_cut,25172,http://data.linkedmdb.org/resource/movie/type_of_film_cut type_of_film_cut type of film cut type of film cut lmdb
lmdb,http://data.linkedmdb.org/resource/movie/film_release_region,film_release_region,25151,http://data.linkedmdb.org/resource/movie/film_release_region film_release_region film release region film release region lmdb
