endpoint,predicate,local_name,usage_count,text
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,13758,http://www.w3.org/1999/02/22-rdf-syntax-ns#type type type type swd food
swdFood,http://www.w3.org/2000/01/rdf-schema#label,label,10698,http://www.w3.org/2000/01/rdf-schema#label label label label swd food
swdFood,http://xmlns.com/foaf/0.1/name,name,9250,http://xmlns.com/foaf/0.1/name name name name swd food
swdFood,http://xmlns.com/foaf/0.1/made,made,5866,http://xmlns.com/foaf/0.1/made made made made swd food
swdFood,http://xmlns.com/foaf/0.1/member,member,5271,http://xmlns.com/foaf/0.1/member member member member swd food
swdFood,http://swrc.ontoware.org/ontology#affiliation,affiliation,5261,http://swrc.ontoware.org/ontology#affiliation affiliation affiliation affiliation swd food
swdFood,http://xmlns.com/foaf/0.1/maker,maker,4898,http://xmlns.com/foaf/0.1/maker maker maker maker swd food
swdFood,http://purl.org/dc/elements/1.1/creator,creator,4278,http://purl.org/dc/elements/1.1/creator creator creator creator swd food
swdFood,http://xmlns.com/foaf/0.1/mbox_sha1sum,mbox_sha1sum,4233,http://xmlns.com/foaf/0.1/mbox_sha1sum mbox_sha1sum mbox sha1sum mbox sha1sum swd food
swdFood,http://swrc.ontoware.org/ontology#author,author,4208,http://swrc.ontoware.org/ontology#author author author author swd food
swdFood,http://xmlns.com/foaf/0.1/based_near,based_near,2911,http://xmlns.com/foaf/0.1/based_near based_near based near based near swd food
swdFood,http://purl.org/dc/elements/1.1/subject,subject,2273,http://purl.org/dc/elements/1.1/subject subject subject subject swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#holdsRole,holdsRole,2075,http://data.semanticweb.org/ns/swc/ontology#holdsRole holdsRole holds role holds role swd food
swdFood,http://xmlns.com/foaf/0.1/firstName,firstName,2001,http://xmlns.com/foaf/0.1/firstName firstName first name first name swd food
swdFood,http://xmlns.com/foaf/0.1/family_name,family_name,1995,http://xmlns.com/foaf/0.1/family_name family_name family name family name swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#heldBy,heldBy,1899,http://data.semanticweb.org/ns/swc/ontology#heldBy heldBy held by held by swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1,_1,1850,http://www.w3.org/1999/02/22-rdf-syntax-ns#_1 _1  1  1 swd food
swdFood,http://swrc.ontoware.org/ontology#abstract,abstract,1722,http://swrc.ontoware.org/ontology#abstract abstract abstract abstract swd food
swdFood,http://www.w3.org/2002/07/owl#sameAs,sameAs,1707,http://www.w3.org/2002/07/owl#sameAs sameAs same as same as swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_2,_2,1663,http://www.w3.org/1999/02/22-rdf-syntax-ns#_2 _2  2  2 swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasPart,hasPart,1631,http://data.semanticweb.org/ns/swc/ontology#hasPart hasPart has part has part swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#isPartOf,isPartOf,1593,http://data.semanticweb.org/ns/swc/ontology#isPartOf isPartOf is part of is part of swd food
swdFood,http://swrc.ontoware.org/ontology#year,year,1585,http://swrc.ontoware.org/ontology#year year year year swd food
swdFood,http://swrc.ontoware.org/ontology#month,month,1585,http://swrc.ontoware.org/ontology#month month month month swd food
swdFood,http://www.cs.vu.nl/~mcaklein/onto/swrc_ext/2005/05#authorList,authorList,1580,http://www.cs.vu.nl/~mcaklein/onto/swrc_ext/2005/05#authorList authorList author list author list swd food
swdFood,http://purl.org/dc/elements/1.1/title,title,1555,http://purl.org/dc/elements/1.1/title title title title swd food
swdFood,http://swrc.ontoware.org/ontology#url,url,1423,http://swrc.ontoware.org/ontology#url url url url swd food
swdFood,http://xmlns.com/foaf/0.1/homepage,homepage,1330,http://xmlns.com/foaf/0.1/homepage homepage homepage homepage swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_3,_3,1235,http://www.w3.org/1999/02/22-rdf-syntax-ns#_3 _3  3  3 swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#isSuperEventOf,isSuperEventOf,1029,http://data.semanticweb.org/ns/swc/ontology#isSuperEventOf isSuperEventOf is super event of is super event of swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasTopic,hasTopic,1028,http://data.semanticweb.org/ns/swc/ontology#hasTopic hasTopic has topic has topic swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#isSubEventOf,isSubEventOf,941,http://data.semanticweb.org/ns/swc/ontology#isSubEventOf isSubEventOf is sub event of is sub event of swd food
swdFood,http://swrc.ontoware.org/ontology#keywords,keywords,859,http://swrc.ontoware.org/ontology#keywords keywords keywords keywords swd food
swdFood,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,783,http://www.w3.org/2000/01/rdf-schema#seeAlso seeAlso see also see also swd food
swdFood,http://xmlns.com/foaf/0.1/page,page,779,http://xmlns.com/foaf/0.1/page page page page swd food
swdFood,http://www.w3.org/2002/12/cal/ical#dtstart,dtstart,717,http://www.w3.org/2002/12/cal/ical#dtstart dtstart dtstart dtstart swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_4,_4,686,http://www.w3.org/1999/02/22-rdf-syntax-ns#_4 _4  4  4 swd food
swdFood,http://www.w3.org/2002/12/cal/ical#summary,summary,648,http://www.w3.org/2002/12/cal/ical#summary summary summary summary swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasRelatedDocument,hasRelatedDocument,641,http://data.semanticweb.org/ns/swc/ontology#hasRelatedDocument hasRelatedDocument has related document has related document swd food
swdFood,http://xmlns.com/foaf/0.1/status,status,613,http://xmlns.com/foaf/0.1/status status status status swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#isRoleAt,isRoleAt,583,http://data.semanticweb.org/ns/swc/ontology#isRoleAt isRoleAt is role at is role at swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#affiliation,affiliation,582,http://data.semanticweb.org/ns/swc/ontology#affiliation affiliation affiliation affiliation swd food
swdFood,http://xmlns.com/foaf/0.1/topic,topic,555,http://xmlns.com/foaf/0.1/topic topic topic topic swd food
swdFood,http://www.w3.org/2002/12/cal/ical#tzid,tzid,552,http://www.w3.org/2002/12/cal/ical#tzid tzid tzid tzid swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasRole,hasRole,469,http://data.semanticweb.org/ns/swc/ontology#hasRole hasRole has role has role swd food
swdFood,http://www.w3.org/2002/12/cal/ical#dtend,dtend,423,http://www.w3.org/2002/12/cal/ical#dtend dtend dtend dtend swd food
swdFood,http://www.w3.org/2002/12/cal/ical#date,date,413,http://www.w3.org/2002/12/cal/ical#date date date date swd food
swdFood,http://www.w3.org/2003/01/geo/wgs84_pos#long,long,369,http://www.w3.org/2003/01/geo/wgs84_pos#long long long long swd food
swdFood,http://www.w3.org/2003/01/geo/wgs84_pos#lat,lat,369,http://www.w3.org/2003/01/geo/wgs84_pos#lat lat lat lat swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#relatedToEvent,relatedToEvent,369,http://data.semanticweb.org/ns/swc/ontology#relatedToEvent relatedToEvent related to event related to event swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_5,_5,349,http://www.w3.org/1999/02/22-rdf-syntax-ns#_5 _5  5  5 swd food
swdFood,http://swrc.ontoware.org/ontology#pages,pages,332,http://swrc.ontoware.org/ontology#pages pages pages pages swd food
swdFood,http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,286,http://www.w3.org/2004/02/skos/core#prefLabel prefLabel pref label pref label swd food
swdFood,http://www.w3.org/2002/12/cal/ical#duration,duration,283,http://www.w3.org/2002/12/cal/ical#duration duration duration duration swd food
swdFood,http://purl.org/dc/terms/title,title,224,http://purl.org/dc/terms/title title title title swd food
swdFood,http://www.w3.org/2002/12/cal/ical#url,url,214,http://www.w3.org/2002/12/cal/ical#url url url url swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#uuid,uuid,212,http://data.semanticweb.org/ns/swc/ontology#uuid uuid uuid uuid swd food
swdFood,http://purl.org/ontology/bibo/authorList,authorList,205,http://purl.org/ontology/bibo/authorList authorList author list author list swd food
swdFood,http://swrc.ontoware.org/ontology#title,title,193,http://swrc.ontoware.org/ontology#title title title title swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasRelatedEvent,hasRelatedEvent,193,http://data.semanticweb.org/ns/swc/ontology#hasRelatedEvent hasRelatedEvent has related event has related event swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasLocation,hasLocation,171,http://data.semanticweb.org/ns/swc/ontology#hasLocation hasLocation has location has location swd food
swdFood,http://xmlns.com/foaf/0.1/workplaceHomepage,workplaceHomepage,155,http://xmlns.com/foaf/0.1/workplaceHomepage workplaceHomepage workplace homepage workplace homepage swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#hasAcronym,hasAcronym,154,http://data.semanticweb.org/ns/swc/ontology#hasAcronym hasAcronym has acronym has acronym swd food
swdFood,http://swrc.ontoware.org/ontology#editor,editor,147,http://swrc.ontoware.org/ontology#editor editor editor editor swd food
swdFood,http://www.w3.org/2002/12/cal/ical#dateTime,dateTime,139,http://www.w3.org/2002/12/cal/ical#dateTime dateTime date time date time swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_6,_6,136,http://www.w3.org/1999/02/22-rdf-syntax-ns#_6 _6  6  6 swd food
swdFood,http://www.w3.org/1999/02/22-rdf-syntax-ns#_7,_7,60,http://www.w3.org/1999/02/22-rdf-syntax-ns#_7 _7  7  7 swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#partOf,partOf,51,http://data.semanticweb.org/ns/swc/ontology#partOf partOf part of part of swd food
swdFood,http://data.semanticweb.org/ns/swc/ontology#panelist,panelist,42,http://data.semanticweb.org/ns/swc/ontology#panelist panelist panelist panelist swd food
